Gain,Magnetization,Susceptibility
0.0,0.14336597863246411,6.147692938455609e-07
0.2631578947368421,0.1279048530091348,3.7497515294334915e-06
0.5263157894736842,0.10327459667931523,2.9442453697318037e-06
0.7894736842105263,0.08989606161839264,7.948163460556213e-06
1.0526315789473684,0.07968094147506852,4.121989093377823e-06
1.3157894736842104,0.06880244711604405,1.652320369307478e-05
1.5789473684210527,0.06203369461737559,8.221992410103106e-06
1.8421052631578947,0.058020534748323804,1.650440713311624e-05
2.1052631578947367,0.053801114685639584,2.2353013473336414e-05
2.3684210526315788,0.05643039875993886,8.081336062964476e-06
2.631578947368421,0.05823737974763129,1.3205207442930695e-05
2.894736842105263,0.045499562505299164,2.2587647759626007e-05
3.1578947368421053,0.04937781523706595,1.0359270118710284e-05
3.4210526315789473,0.0484508810097163,2.766601785143998e-05
3.6842105263157894,0.044417657532792164,4.883176089502528e-06
3.9473684210526314,0.04859404802324754,1.5163751764276725e-05
4.2105263157894735,0.052615077718931126,2.5764430398477725e-05
4.473684210526316,0.045811964758374235,1.8307298903597724e-05
4.7368421052631575,0.04625389526454841,3.98803060145146e-05
5.0,0.0484627063700514,1.2994512690659972e-05
